run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_4,192.168.0.106,B02,4,front_4,1,4,node_segment_1,2026-05-12T16:11:10.109,23.743,2.766,61,61,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_5,192.168.0.107,B04,5,front_5,2,5,node_segment_1,2026-05-12T16:11:10.109,23.743,2.766,65,65,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,1,node_segment_1,2026-05-12T16:11:10.218,23.852,2.874,65,65,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_2,192.168.0.102,B07,2,front_2,7,2,node_segment_1,2026-05-12T16:11:10.218,23.852,2.874,67,67,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,3,node_segment_1,2026-05-12T16:11:10.218,23.852,2.874,60,60,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_4,192.168.0.106,B02,4,front_4,1,4,node_segment_1,2026-05-12T16:11:10.218,23.852,2.874,61,61,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_5,192.168.0.107,B04,5,front_5,2,5,node_segment_1,2026-05-12T16:11:10.218,23.852,2.874,65,65,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,1,node_segment_1,2026-05-12T16:11:10.326,23.96,2.982,65,65,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_2,192.168.0.102,B07,2,front_2,7,2,node_segment_1,2026-05-12T16:11:10.326,23.96,2.982,67,67,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,3,node_segment_1,2026-05-12T16:11:10.326,23.96,2.982,60,60,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_4,192.168.0.106,B02,4,front_4,1,4,node_segment_1,2026-05-12T16:11:10.326,23.96,2.982,61,61,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_5,192.168.0.107,B04,5,front_5,2,5,node_segment_1,2026-05-12T16:11:10.326,23.96,2.982,65,65,0
20260512_161046,front_tail_lv1_009,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,1,node_segment_1,2026-05-12T16:11:10.432,24.066,3.089,65,65,0
